,Millet Partisi,Hak ve Özgürlükler Partisi,Türkiye Komünist Partisi,Türkiye Komünist Hareketi,Sol Parti,Genç Parti,Memleket Partisi,Büyük Birlik Partisi,Adalet ve Kalkinma Partisi,Yeniden Refah Partisi,Milliyetçi Hareket Partisi,Yeşiller ve Sol Gelecek Partisi,Türkiye İşçi Partisi,Adalet Birlik Partisi,Anavatan Partisi,Yenilik Partisi,Halkin Kurtuluş Partisi,Milli Yol Partisi,Vatan Partisi,Güç Birliği Partisi,Cumhuriyet Halk Partisi,İyi Parti,Adalet Partisi,Zafer Partisi,Bağimsizlar,Toplam Oy,Milletvekili Sayisi
Adana,1442,907,1424,371,2387,4144,11120,12992,440010,25465,157286,138737,32770,1469,40,4,887,7,1836,23,408253,153214,92,29953,1018,1425851,15
Adiyaman,522,395,445,118,930,346,1489,3192,170133,15406,14070,39118,313,14,9,171,321,2,311,262,60957,385,21,2061,14806,325797,5
Afyonkarahisar,842,438,365,128,150,18,3848,5275,215288,14353,78277,3126,1495,22,14,135,371,3,421,330,91589,60212,31,10764,0,487495,6
Agri,130,290,291,139,1370,196,1617,643,55633,4320,5667,119411,211,10,6,357,202,1,247,4,24474,3747,480,72,57,219575,4
Aksaray,383,226,181,61,285,328,1797,5416,113634,6650,54103,2344,880,406,7,109,201,159,277,4,2039,63590,17,3464,3007,259568,4
Amasya,164,253,146,65,151,233,1354,1972,94568,4273,40037,1572,1078,11,431,52,160,1,157,155,70732,17001,764,3588,0,238918,3
Ankara_1,1155,493,3652,572,1517,2074,13355,12083,351917,27310,115843,58516,1353,1174,1849,4,515,630,1324,800,584966,182215,2624,41758,562,1408261,13
Ankara_2,1193,467,910,223,790,2129,11128,16560,496462,41128,142504,29101,14241,1162,1969,140,355,662,663,567,245923,136566,2908,40735,189,1188675,11
Ankara_3,1361,453,1305,301,895,2566,14601,21483,444093,37496,148835,37404,34023,1123,1817,200,409,642,1010,700,383304,189824,3274,49716,229,1377064,12
Antalya,2053,1112,2642,629,1940,5689,22731,11393,499580,21665,172338,84269,78250,1667,2366,341,944,818,1716,1642,555281,194341,5093,48115,1942,1718557,17
Ardahan,47,79,96,59,387,51,258,196,19489,558,1812,11931,54,134,187,45,95,35,56,84,16573,2716,197,593,25,55757,2
Artvin,116,151,411,80,468,165,1352,461,43865,2772,11401,1371,1830,5,450,28,153,1,99,100,35257,15386,448,1387,249,118006,2
Aydin,776,720,1266,354,1190,2517,9085,6740,227985,5943,68666,58127,764,35,1653,290,551,4,1487,13,282600,102822,2113,17622,1401,794724,8
Balikesir,1037,1128,902,276,745,2479,11041,6271,316241,18921,74767,20685,11569,1004,25,292,662,5,1664,14,287053,133167,3321,18716,87,912072,9
Bartin,256,275,284,113,126,453,1221,627,50240,2413,31932,869,131,445,513,106,233,1,232,177,42751,161,692,1974,0,136225,2
Batman,157,541,240,85,1937,12,1201,1055,98161,3609,4953,194141,324,15,9,406,149,2,132,252,28417,398,498,110,0,336804,5
Bayburt,41,28,36,8,20,23,206,370,30184,1482,8363,376,146,57,106,10,29,15,18,28,399,8040,65,689,0,50739,1
Bilecik,199,100,120,36,114,563,1900,1327,57827,5019,15965,4473,1393,183,389,36,91,1,173,90,41425,18856,530,3453,771,155034,2
Bingöl,128,203,139,64,686,114,566,820,58635,14903,20341,35815,144,243,199,39,122,1,97,116,8702,3018,347,49,4215,149706,3
